"State","CMS_Cert_Num","Provider_Name","Address","City","Zip","Phone","Type_of_Ownership","Date_Certified"
"AL","17058","GENTIVA HEALTH SERVICES","9037 INDEPENDENCE AVENUE, SUITE B","DAPHNE","36526","2516210882","Proprietary","1984-10-25 00:00:00"
"AL","17063","INTREPID USA HEALTHCARE SERVICES","3918 MONTCLAIR RD, SUITE 202","BIRMINGHAM","35209","2058773403","Proprietary","1985-12-05 00:00:00"
"AL","17066","SPRINGHILL HOME HEALTH AND HOSPICE","10 MOBILE STREET","MOBILE","36607","2514338172","Proprietary","1986-02-24 00:00:00"
"AL","17067","INTREPID USA HEALTHCARE SERVICES","7212 COPPERFIELD DRIVE","MONTGOMERY","36117","3342707913","Proprietary","1986-05-09 00:00:00"
"AL","17069","AMEDISYS HOME HEALTH OF FOLEY","1809 N MCKENZIE STREET","FOLEY","36535","2519711436","Proprietary","1986-07-01 00:00:00"
"AL","17070","AMEDISYS HOME HEALTH OF CITRONELLE","19375 NORTH 3RD STREET, SUITE 101","CITRONELLE","36522","2518663261","Proprietary","1986-07-01 00:00:00"
"AL","17071","GENTIVA HEALTH SERVICES","12521 ALABAMA HIGHWAY 157","MOULTON","35650","2057397800","Proprietary","1986-08-21 00:00:00"
"AL","17072","AMEDISYS HOME HEALTH OF GREENVILLE","525 GREENVILLE BYPASS","GREENVILLE","36037","3343822042","Proprietary","1987-02-05 00:00:00"
"AL","17078","AMEDISYS HOME HEALTH OF REFORM","420 FIRST AVENUE WEST","REFORM","35481","2053759255","Proprietary","1990-06-12 00:00:00"
"AL","17079","LAMAR HOME CARE INC","131 1ST AVENUE NW, SUITE B","VERNON","35592","2056956736","Proprietary","1990-12-21 00:00:00"
"AL","17080","DCH HOME HEALTH CARE AGENCY","1401 GREENSBORO AVENUE","TUSCALOOSA","35401","2057597010","Private","1991-05-02 00:00:00"
"AL","17082","CV HOME HEALTH OF BIBB COUNTY","142 PIERSON AVENUE","CENTREVILLE","35042","2059263211","Proprietary","1991-11-07 00:00:00"
"AL","17083","HOME CARE PLUS","3950 AUTUMN LANE","BIRMINGHAM","35243","2052989886","Proprietary","1991-11-19 00:00:00"
"AL","17084","GENTIVA HOME HEALTH SERVICES","200 CENTRAL PARK PLACE","SELMA","36701","3348726637","Proprietary","1991-11-21 00:00:00"
"AL","17085","COOSA VALLEY HOMECARE","315 WEST HICKORY STREET","SYLACAUGA","35150","2562080087","Proprietary","1991-12-05 00:00:00"
"AL","17086","ALABAMA HOMECARE","319A MCWILLIAMS AVENUE","CAMDEN","36726","3346829050","Proprietary","1992-01-09 00:00:00"
"AL","17088","FAYETTE MEDICAL CENTER HOMECARE","102 2ND AVENUE, SE","FAYETTE","35555","2059325961","Proprietary","1991-12-18 00:00:00"
"AL","17089","CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES","1912 ALABAMA HIGHWAY 157, 2ND FLOOR","CULLMAN","35058","2567372831","Other","1992-06-11 00:00:00"
"AL","17090","GENTIVA HEALTH SERVICES","12731 HIGHWAY 17, SUITE 3","GILBERTOWN","36908","2518432808","Proprietary","1992-06-10 00:00:00"
"AL","17091","HALE COUNTY HOSPITAL HOME HEALTH","506 GREENE STREET","GREENSBORO","36744","3346243066","State/County","1992-06-18 00:00:00"
"AL","17092","MEDICAL CENTER HOME HEALTH","HWY 17 N, HOSPITAL DRIVE","CARROLLTON","35447","2053678111","Other","1992-07-01 00:00:00"
"AL","17093","DEKALB REGIONAL HOME HEALTH","1706 GLENN BOULEVARD, SUITE 3","FORT PAYNE","35968","2565242411","Proprietary","1992-07-30 00:00:00"
"AL","17094","CHEROKEE HOME HEALTH","775 CHEROKEE PLAZA","CENTRE","35960","2569271144","Proprietary","1992-08-13 00:00:00"
"AL","17095","ATHENS-LIMESTONE HOMECARE","1428 FREEMAN AVENUE","ATHENS","35613","2562339533","Proprietary","1992-08-12 00:00:00"
"AL","17096","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","TROY","36081","3346705257","Local","1992-10-27 00:00:00"
"AL","17097","CLAY COUNTY HOSPITAL HOME CARE, LLC","83825 HIGHWAY 9","ASHLAND","36251","2563540077","Proprietary","1992-10-27 00:00:00"
"AL","17100","MARION REGIONAL HOMECARE","1186 MILITARY STREET SOUTH","HAMILTON","35570","2059216387","Proprietary","1992-10-29 00:00:00"
"AL","17101","HEALTH NOW HOME HEALTH","751 DERBY DRIVE","YORK","36925","2053925263","Proprietary","1992-12-09 00:00:00"
"AL","17102","ALABAMA HOMECARE","607 WILSON AVENUE, SUITE 3","EUTAW","35462","2053723399","Proprietary","1992-12-17 00:00:00"
"AL","17103","BRYAN W WHITFIELD MEM HOSP","HWY 80 E","DEMOPOLIS","36732","3342890701","Combination GOVT & Voluntary","1992-12-23 00:00:00"
"AL","17104","HIGHLANDS HOME HEALTH","309 PARKS AVENUE","SCOTTSBORO","35768","2562594840","Private","1993-01-13 00:00:00"
"AL","17106","EVERGREEN HOME CARE","308 SOUTH MAIN STREET","EVERGREEN","36401","2515786800","Proprietary","1993-01-12 00:00:00"
"AL","17107","SUNCREST HOME HEALTH","222 7TH STREET SOUTH","CLANTON","35045","2052804663","Proprietary","1993-05-24 00:00:00"
"AL","17109","NORTHWEST HOME HEALTH HALEYVILLE","HIGHWAY 195 EAST PO BOX 780","HALEYVILLE","35565","2054857341","Proprietary","1993-06-23 00:00:00"
"AL","17112","JACKSON MEDICAL CENTER HOME HEALTH","112 FOREST AVENUE","JACKSON","36545","2512470424","Proprietary","1993-06-29 00:00:00"
"AL","17115","GADSDEN REGIONAL HOME HEALTH","82 INDUSTRIAL BOULEVARD","ATTALLA","35954","2565382273","Proprietary","1993-07-27 00:00:00"
"AL","17116","IVY CREEK HOME HEALTH OF ELMORE","15 CAMBRIDGE COURT","WETUMPKA","36092","3345677710","Proprietary","1993-07-26 00:00:00"
"AL","17117","LAKE MARTIN HOME HEALTH","301 MARIARDEN ROAD, SUITE F - PO BOX 629","DADEVILLE","36853","2568257050","Proprietary","1993-07-29 00:00:00"
"AL","17118","AMEDISYS H H, A LAWRENCE MEDICAL CTR PARTNER","15190 COURT STREET, SUITE B","MOULTON","35650","2569742200","Proprietary","1993-08-17 00:00:00"
"AL","17119","HGA HOMECARE OF HUNTSVILLE","6767 OLD MADISON PIKE NW - BUILDING 4, SUITE 400","HUNTSVILLE","35806","2569226650","Proprietary","1993-09-20 00:00:00"
"AL","17121","GENTIVA HEALTH SERVICES","1309 ANTIOCH ROAD","ANDALUSIA","36420","3342222172","Proprietary","1993-09-27 00:00:00"
"AL","17123","LANIER HOME HEALTH SERVICES","1806 44TH ST.","VALLEY","36854","3347561950","Private","1993-10-21 00:00:00"
"AL","17124","DALE MEDICAL CTR HOME HEALTH","126 HOSPITAL AVENUE","OZARK","36360","3347740750","Other","1993-10-20 00:00:00"
"AL","17125","KELLER HOME CARE","217 HOSPITAL ROAD","RED BAY","35582","2563568160","Proprietary","1994-01-20 00:00:00"
"AL","17127","SOUTH BALDWIN REGIONAL HOME HEALTH","1605 NORTH  MCKENZIE STREET","FOLEY","36535","2514241045","State/County","1994-02-15 00:00:00"
"AL","17128","MEDICAL CENTERS HOMECARE","11687 US HWY 431","GUNTERSVILLE","35976","2568785811","Proprietary","1994-02-03 00:00:00"
"AL","17129","HOMECARE OF EAST ALABAMA MEDICAL CENTER","665 OPELIKA ROAD, SUITE 300","AUBURN","36830","3348263131","Proprietary","1994-03-31 00:00:00"
"AL","17130","INFIRMARY HOMECARE OF GROVE HILL","127-C CLARKE STREET","GROVE HILL","36451","2512753136","Proprietary","1994-04-13 00:00:00"
"AL","17132","ST VINCENT'S HOME HEALTH OF BLOUNT COUNTY","1104 2ND AVE EAST, SUITE C","ONEONTA","35121","2052743365","Proprietary","1994-06-15 00:00:00"
"AL","17134","LHC HOMECARE OF SOUTH ALABAMA","700 BRANTLEY STREET","OPP","36467","3344932087","Proprietary","1994-06-14 00:00:00"
"AL","17135","COMMUNITY HOME CARE","1526 GILMER AVENUE","TALLASSEE","36078","3342836541","Private","1994-09-27 00:00:00"
"AL","17136","RELIABLE HOME HEALTH","435 MEETING STREET","GEORGIANA","36033","3343762286","Proprietary","1994-09-26 00:00:00"
"AL","17138","L V STABLER MEMORIAL HOME HEALTH","104 CAMELLIA AVENUE, SUITE B","GREENVILLE","36037","3343832286","Proprietary","1994-10-18 00:00:00"
"AL","17139","ASSOCIATES HOME HEALTH SERVICES","102 WEST CONECUH AVE","UNION SPRINGS","36089","3347384155","Proprietary","1994-12-12 00:00:00"
"AL","17140","THE HOSPITAL HOME HEALTH","54 BEALL DRIVE","LUVERNE","36049","3343353374","Proprietary","1994-12-28 00:00:00"
"AL","17141","NORTHWEST HOME HEALTH WINFIELD","1530 US HWY 43","WINFIELD","35594","2054877900","Proprietary","1994-05-24 00:00:00"
"AL","17142","ATMORE COMMUNITY HOME CARE, LLC","121 LINDBERG AVENUE, SUITE C","ATMORE","36502","2513686286","Other","1995-02-13 00:00:00"
"AL","17143","D W MCMILLAN HOME HEALTH","114 W JACKSON STREET","BREWTON","36426","3348672664","Proprietary","1995-01-23 00:00:00"
"AL","17145","ST VINCENTS HOME HEALTH OF ST CLAIR COUNTY","2401 STEMLEY BRIDGE ROAD, SUITE 7","PELL CITY","35128","2058847202","Proprietary","1995-11-29 00:00:00"
"AL","17146","NORTHWEST HOME HEALTH","711 HOSPITAL DRIVE NE, PO BOX 1147","RUSSELLVILLE","35653","2563310006","Proprietary","1998-10-01 00:00:00"
"AL","17147","SOUTHERN HOME HEALTH SERVICES","2214 B GATEWAY DRIVE","OPELIKA","36801","3347457966","Private","1999-02-18 00:00:00"
"AL","17148","THOMAS HOME HEALTH","7530 PARKER ROAD, SUITE 200","FAIRHOPE","36532","2516251520","Proprietary","2000-04-13 00:00:00"
"AL","17149","ST VINCENT'S HOME HEALTH OF JEFFERSON COUNTY","1400 URBAN CENTER DRIVE, SUITE 240","HOOVER","35242","2053132800","Private","2000-07-12 00:00:00"
"AL","17151","GENTIVA HEALTH SERVICES","1328 GREENBRIER-DEAR ROAD","ANNISTON","36207","2568357101","Proprietary","2000-10-05 00:00:00"
"AL","17152","GENTIVA HEALTH SERVICES","1025 FORT WILLIAMS","SYLACAUGA","35150","2562494363","Proprietary","2000-10-05 00:00:00"
"AL","17153","COMFORT CARE HOME HEALTH","1249 5TH STREET SOUTHWEST","ALABASTER","35007","2056850421","Proprietary","2002-03-20 00:00:00"
"AL","17154","AMEDISYS HOME HEALTH","1900 CRESTWOOD BLVD, 1900 BLDG, SUITE 95","IRONDALE","35210","2059300720","Proprietary","2003-02-20 00:00:00"
"AL","17155","ALACARE HOME HEALTH  & HOSPICE (MOBILE)","1201 MONTLIMAR DRIVE, SUITE 700","MOBILE","36609","2513410707","Proprietary","2004-02-05 00:00:00"
"AL","17156","BAPTIST CITIZENS HOME HEALTH CARE","604 STONE AVENUE","TALLADEGA","35160","2567614363","Religious Affiliations","2004-08-25 00:00:00"
"AL","17157","AMEDISYS HOME HEALTH OF OPELIKA","3320 SKYWAY DRIVE, SUITE 804","OPELIKA","36801","3348877234","Proprietary","2006-03-09 00:00:00"
"AL","17158","AMEDISYS HOME HEALTH OF FORT PAYNE","501 GREENHILL BLVD SUITE 150","FORT PAYNE","35967","2568448303","Proprietary","2006-07-11 00:00:00"
"AL","17159","AMEDISYS HOME HEALTH OF OZARK","123 S PAINTER AVENUE, SUITE C","OZARK","36360","3347740370","Proprietary","2006-07-26 00:00:00"
"AL","17160","CARESOUTH HOMECARE PROFESSIONALS","2002 35TH STREET, SUITE D","VALLEY","36854","3347566225","Proprietary","2006-09-13 00:00:00"
"AL","17161","GENTIVA HEALTH SERVICES","185 CHATEAU DRIVE, SW, SUITE 102","HUNTSVILLE","35801","2568813266","Proprietary","2007-03-15 00:00:00"
"AL","17163","AMEDISYS HOME HEALTH OF MONROEVILLE","15 MAYFIELD STREET","MONROEVILLE","36460","2515759195","Proprietary","2007-04-12 00:00:00"
"AL","17164","GENTIVA HEALTH SERVICES","2740 HEADLAND AVE","DOTHAN","36303","3349442290","Proprietary","2008-02-27 00:00:00"
"AL","17165","AMEDISYS HOME HEALTH OF FLORENCE","412 S COURT STREET, SUITE 403","FLORENCE","35630","2567661817","Proprietary","2008-04-10 00:00:00"
"AL","17166","GENTIVA HEALTH SERVICES","118 6TH STREET SOUTH","CLANTON","35045","2057559926","Proprietary","2009-05-11 00:00:00"
"AL","17167","GENTIVA HEALTH SERVICES","3319 DR JOHN HAYNES DRIVE SUITE 4","PELL CITY","35125","2053388440","Proprietary","2009-05-20 00:00:00"
"AL","17168","GENTIVA HEALTH SERVICES","824 WESTERN AMERICA DRIVE","MOBILE","36609","2514761279","Proprietary","2009-05-21 00:00:00"
"AL","17169","CV HOME HEALTH SERVICES","17035 HWY 11 NORTH","VANCE","35490","2055629615","Proprietary","2010-12-15 00:00:00"
"AL","17170","GENTIVA HEALTH SERVICES","1458 JONES DAIRY ROAD SUITE 100","JASPER","35501","2052215234","Proprietary","2009-09-04 00:00:00"
"AL","17171","GENTIVA HEALTH SERVICES","1217 CULLMAN SHOPPING CENTER NW","CULLMAN","35055","2567392992","Proprietary","2009-09-02 00:00:00"
"AL","17172","WOODLAND HOME HEALTH SERVICES CRMC, LLC","1910 CHEROKEE AVENUE SW","CULLMAN","35055","2568414443","Proprietary","2011-06-30 00:00:00"
"AL","17174","ULTRA CARE OF ETOWAH COUNTY","100 MEDICAL CENTER DRIVE, SUITE 306","GADSDEN","35903","2564594971","Proprietary","2013-03-07 00:00:00"
"AL","17300","AMEDISYS HOME HEALTH OF TUSCALOOSA","1300  MCFARLAND BOULEVARD NORTHEAST, SUITE 320","TUSCALOOSA","35406","2057520606","Proprietary","1976-09-17 00:00:00"
"AL","17305","AMEDISYS HOME HEALTH OF ANNISTON","171 TOWN CENTER DR, SUITE MPS-4","ANNISTON","36205","2568359099","Proprietary","1979-09-20 00:00:00"
"AL","17307","GENTIVA HEALTH SERVICES","5009 RIVER CHASE DRIVE, BLDG 100, SUITE C","PHENIX CITY","36867","3342976900","Proprietary","1982-05-04 00:00:00"
"AL","17319","AMEDISYS HOME HEALTH OF MONTGOMERY","300 INTERSTATE PARK DRIVE, SUITE 324","MONTGOMERY","36109","3342720313","Proprietary","1994-02-01 00:00:00"
"AL","17320","AMEDISYS HOME HEALTH OF SELMA","108 EXECUTIVE PARK LANE","SELMA","36701","3348752550","Proprietary","1991-10-31 00:00:00"
"AL","17323","MONROE CO HOSP PROGRESSIVE HOM","DR WOODROW EDDINS MED DR-P.O. 886","MONROEVILLE","36461","2517437328","State/County","1995-03-06 00:00:00"
"AL","17324","ALACARE HOME HEALTH AND HOSPICE","824 HIGHWAY 231 SOUTH","TROY","36081","3345669238","Proprietary","2002-11-13 00:00:00"
"AL","17326","ALACARE HOME HEALTH & HOSPICE","1690 BELTLINE ROAD, SUITE B","DECATUR","35601","2563555746","Proprietary","2001-10-12 00:00:00"
"AL","17327","AMEDISYS HOME HEALTH OF WALKER","100 HIGHWAY 78 WEST","JASPER","35501","2052952434","Proprietary","2005-08-03 00:00:00"
"AL","17328","AMEDISYS HOME HEALTH OF BREWTON","2554 DOUGLAS AVENUE","BREWTON","36426","2518091717","Proprietary","2006-01-18 00:00:00"
"AL","17801","AUTAUGA COUNTY HOME CARE","219 NORTH COURT STREET","PRATTVILLE","36067","3343613753","State/County","1966-07-01 00:00:00"
"AL","17803","BARBOUR COUNTY HOME CARE AGENCY","39 BROWDER STREET","CLAYTON","36016","3347759044","State/County","1966-07-01 00:00:00"
"AL","17812","MARENGO COUNTY HOME CARE AGENCY","303 INDUSTRIAL DRIVE","LINDEN","36748","3342950000","State/County","1970-10-14 00:00:00"
"AL","17816","COFFEE COUNTY HOME CARE","2841 NEAL METCALF ROAD","ENTERPRISE","36330","3343479576","State/County","1966-07-01 00:00:00"
"AL","17817","NORTHWEST ALABAMA REGIONAL HOME CARE AGENCY","1000 SOUTH JACKSON HIGHWAY","SHEFFIELD","35660","2563831234","State/County","1966-07-01 00:00:00"
"AL","17818","CONECUH COUNTY HOME CARE","115 RURAL STREET","EVERGREEN","36401","2515785265","State/County","1966-07-01 00:00:00"
"AL","17824","DALLAS COUNTY HOME CARE","100 SAMUEL O. MOSLEY DR","SELMA","36701","3348722323","State/County","1969-03-06 00:00:00"
"AL","17825","DEKALB COUNTY HOME CARE","2401 CALVIN DRIVE SOUTHWEST","FORT PAYNE","35967","2568458680","State/County","1966-07-01 00:00:00"
"AL","17828","ETOWAH COUNTY HOME CARE","709 EAST BROAD STREET","GADSDEN","35903","2565475012","State/County","1966-07-01 00:00:00"
"AL","17831","GENEVA COUNTY HOME CARE","300 COUNTY ROAD 41","HARTFORD","36344","3346842259","State/County","1966-07-01 00:00:00"
"AL","17835","HOUSTON COUNTY HOME CARE","1781 E COTTONWOOD ROAD","DOTHAN","36302","3346782805","State/County","1966-07-01 00:00:00"
"AL","17836","JACKSON COUNTY HOME CARE","204 LIBERTY LANE","SCOTTSBORO","35769","2562593694","State/County","1966-07-01 00:00:00"
"AL","17847","MARION COUNTY HOME CARE","2448 MILITARY STREET, SOUTH","HAMILTON","35570","2059212859","State/County","1966-07-01 00:00:00"
"AL","17848","MARSHALL COUNTY HOME CARE","150 JUDY SMITH DRIVE","GUNTERSVILLE","35976","2565828425","State/County","1969-03-26 00:00:00"
"AL","17850","MONROE COUNTY HOME CARE","416 AGRICULTURE DRIVE","MONROEVILLE","36460","2515752980","State/County","1969-08-14 00:00:00"
"AL","17851","MONTGOMERY COUNTY HOME CARE","3060 MOBILE HIGHWAY","MONTGOMERY","36108","3342936525","State/County","1966-07-01 00:00:00"
"AL","17855","PIKE COUNTY HOME CARE","900 SOUTH FRANKLIN DRIVE","TROY","36081","3345668002","State/County","1966-07-01 00:00:00"
"AL","17856","RANDOLPH COUNTY HOME CARE","320 MAIN STREET","ROANOKE","36274","3348638983","State/County","1966-07-01 00:00:00"
"AL","17857","RUSSELL COUNTY HOME CARE","1850 CRAWFORD ROAD","PHENIX CITY","36868","3342985581","State/County","1971-03-09 00:00:00"
"AL","17861","TALLADEGA COUNTY HOME CARE AGENCY","311 NORTH ELM AVENUE","SYLACAUGA","35150","2562494893","State/County","1966-07-01 00:00:00"
"AL","17863","TUSCALOOSA COUNTY HOME CARE","2350 HARGROVE ROAD EAST","TUSCALOOSA","35405","2055544520","State/County","1966-07-01 00:00:00"
"AL","17865","WASHINGTON COUNTY HOME CARE","14900 SAINT STEPHENS AVENUE","CHATOM","36518","2518472257","State/County","1969-01-10 00:00:00"
"AL","17867","WINSTON COUNTY HOME CARE","110 LEGION ROAD","DOUBLE SPRINGS","35553","2054863159","State/County","1966-07-01 00:00:00"
"AL","17872","LAMAR COUNTY HOME CARE","300 SPRINGFIELD ROAD","VERNON","35592","2056956916","State/County","1985-05-02 00:00:00"
"AL","17873","MORGAN COUNTY HOME CARE AGENCY","201 GORDON DRIVE SE, SUITE 107","DECATUR","35601","2563062400","State/County","1987-02-25 00:00:00"
"AL","17874","LIMESTONE COUNTY HOME CARE","20371 CLYDE MABRY DRIVE","ATHENS","35611","2562300434","State/County","1988-04-06 00:00:00"
"AL","17875","CULLMAN COUNTY HOME CARE","601 LOGAN AVENUE SW","CULLMAN","35055","2567340258","State/County","1970-10-01 00:00:00"
"AL","17876","LAWRENCE COUNTY HOME CARE","13299 ALABAMA HIGHWAY 157, P O BOX 308","MOULTON","35650","2569747076","State/County","1988-04-05 00:00:00"
"AK","27001","PROVIDENCE IN HOME SERVICES","4001 DALE STREET, SUITE 101","ANCHORAGE","99508","9075630130","Religious Affiliations","1982-05-17 00:00:00"
"AK","27002","HOSPICE & HOME CARE OF JUNEAU","419 SIXTH STREET","JUNEAU","99801","9074633113","Private","1982-12-27 00:00:00"
"AK","27006","FAIRBANKS MEMORIAL HOSPITAL HHA","1302 21ST AVENUE, FLOOR 2","FAIRBANKS","99701","9074585410","Other","1985-09-19 00:00:00"
"AK","27007","SITKA COMMUNITY HOSPITAL HHA","209 MOLLER AVENUE","SITKA","99835","9077471750","Combination GOVT & Voluntary","1985-09-26 00:00:00"
"AK","27008","MAT-SU REGIONAL HOME CARE","950 E BOGARD, STE 132","WASILLA","99654","9078616000","Proprietary","1987-01-22 00:00:00"
"AK","27009","PETERSBURG MEDICAL CENTER HOME","P.O. BOX 589","PETERSBURG","99833","9077724291","Local","1987-07-21 00:00:00"
"AK","27010","SOUTH PENINSULA HOSPITAL HHA","4300 BARTLETT STREET","HOMER","99603","9072350369","Other","1990-02-20 00:00:00"
"AK","27014","PEACEHEALTH KETCHIKAN MEDICAL CENTER HOME HEALTH","126 WASHINGTON STREET","KETCHIKAN","99901","9072258914","Religious Affiliations","1993-03-04 00:00:00"
"AK","27020","1ST CHOICE HOME HEALTH CARE, INC","159 E REDOUBT AVENUE","SOLDOTNA","99669","9072605959","Proprietary","1996-01-02 00:00:00"
"AK","27021","PROVIDENCE KODIAK HOME HEALTH","204 EAST REZANOF DRIVE","KODIAK","99615","9074869545","Religious Affiliations","1995-12-21 00:00:00"
"AK","27022","AMEDISYS HOME HEALTH CARE","3909 ARCTIC BLVD, SUITE 102","ANCHORAGE","99503","9072721275","Proprietary","1996-05-07 00:00:00"
"AK","27024","HOME BASED SERVICES","4160 TUDOR CENTRE DRIVE","ANCHORAGE","99508","9077292490","Other","1996-07-17 00:00:00"
"AK","27032","MAXIM HEALTHCARE SERVICES, INC","711 H STREET, SUITE 100","ANCHORAGE","99501","9077700862","Proprietary","2006-08-23 00:00:00"
"AZ","37011","AMEDISYS HOME HEALTH","14239 WEST BELL ROAD, SUITE 219","SURPRISE","85374","6239747810","Proprietary","1972-09-01 00:00:00"
"AZ","37015","BANNER HOME CARE","275 EAST GERMANN ROAD, SUITE 110S","GILBERT","85297","4806571000","Private","1977-12-19 00:00:00"
"AZ","37016","INTERIM HEALTHCARE","5055 EAST BROADWAY, SUITE D-104","TUCSON","85711","5207471800","Proprietary","1979-11-28 00:00:00"
"AZ","37020","HOSPICE OF THE VALLEY HOME HEALTH AGENCY","1510 EAST FLOWER","PHOENIX","85014","6025306900","Private","1980-12-08 00:00:00"
"AZ","37024","SCOTTSDALE HEALTHCARE HOME HEALTH","5111 NORTH SCOTTSDALE ROAD, SUITE 143","SCOTTSDALE","85250","4808824222","Other","1981-11-01 00:00:00"
"AZ","37027","SUMMIT HEALTHCARE HOME HEALTH","2200 SHOW LOW LAKE ROAD","SHOW LOW","85901","9285376900","Other","1982-09-15 00:00:00"
"AZ","37028","HORIZON HOME CARE","1729 NORTH TREKELL ROAD, SUITE 114","CASA GRANDE","85122","5208365046","Proprietary","1982-09-10 00:00:00"
"AZ","37030","BAYADA HOME HEALTH CARE INC","2971 WILLOW CREEK ROAD, BUILDING 1, SUITE A","PRESCOTT","86301","9287595900","Proprietary","1982-12-29 00:00:00"
"AZ","37036","GENTIVA HEALTH SERVICES","6400 EAST EL DORADO CIRCLE, SUITE 120","TUCSON","85715","5207311333","Proprietary","1983-01-27 00:00:00"
"AZ","37037","GENTIVA HEALTH SERVICES","16620 NORTH 40TH STREET, SUITE D4","PHOENIX","85032","6239797471","Proprietary","1983-03-21 00:00:00"
