"CMS_Cert_Number","Offers Nursing Care Services","Offers Physical Therapy Services","Offers Occupational Therapy Services","Test","Offers Home Health Aide Services"
"37099","Yes","Yes","Yes","Yes","Yes"
"37101","Yes","Yes","Yes","Yes","Yes"
"37106","Yes","Yes","Yes","Yes","Yes"
"37112","Yes","Yes","Yes","Yes","Yes"
"37114","Yes","Yes","No","Yes","Yes"
"37118","Yes","Yes","Yes","Yes","Yes"
"37125","Yes","Yes","Yes","Yes","Yes"
"37129","Yes","No","No","Yes","Yes"
"37130","Yes","Yes","Yes","Yes","Yes"
"37132","Yes","Yes","Yes","Yes","Yes"
"37133","Yes","Yes","No","Yes","Yes"
"37139","Yes","Yes","Yes","Yes","Yes"
"37144","Yes","Yes","Yes","Yes","Yes"
"37146","Yes","Yes","Yes","Yes","Yes"
"37154","Yes","Yes","Yes","Yes","Yes"
"37162","Yes","Yes","Yes","Yes","Yes"
"37178","Yes","Yes","Yes","Yes","Yes"
"37179","Yes","Yes","Yes","Yes","Yes"
"37185","Yes","Yes","Yes","Yes","Yes"
"37188","Yes","Yes","Yes","Yes","Yes"
"37192","Yes","Yes","Yes","Yes","Yes"
"37199","Yes","Yes","Yes","Yes","Yes"
"37202","Yes","Yes","Yes","Yes","Yes"
"37204","Yes","No","No","No","Yes"
"37205","Yes","Yes","Yes","Yes","Yes"
"37206","Yes","Yes","Yes","No","Yes"
"37212","Yes","Yes","Yes","Yes","Yes"
"37213","Yes","Yes","Yes","Yes","Yes"
"37215","Yes","Yes","Yes","Yes","Yes"
"37216","Yes","Yes","Yes","Yes","Yes"
"37217","Yes","Yes","Yes","Yes","Yes"
"37219","Yes","Yes","Yes","Yes","Yes"
"37220","Yes","Yes","Yes","Yes","Yes"
"37221","Yes","Yes","Yes","Yes","Yes"
"37224","Yes","Yes","Yes","Yes","No"
"37225","Yes","Yes","Yes","Yes","Yes"
"37226","Yes","Yes","Yes","Yes","Yes"
"37227","Yes","Yes","Yes","Yes","Yes"
"37228","Yes","Yes","Yes","Yes","Yes"
"37229","Yes","No","No","Yes","No"
"37230","Yes","Yes","Yes","Yes","Yes"
"37231","Yes","Yes","Yes","Yes","Yes"
"37232","Yes","Yes","Yes","Yes","Yes"
"37233","Yes","Yes","Yes","Yes","Yes"
"37234","Yes","Yes","Yes","Yes","Yes"
"37235","Yes","Yes","Yes","Yes","Yes"
"37236","Yes","Yes","Yes","Yes","Yes"
"37237","Yes","Yes","Yes","Yes","Yes"
"37238","Yes","Yes","Yes","Yes","Yes"
"37239","Yes","Yes","Yes","Yes","Yes"
"37240","Yes","Yes","Yes","Yes","Yes"
"37242","Yes","Yes","Yes","No","Yes"
"37243","Yes","No","No","No","Yes"
"37244","Yes","Yes","Yes","Yes","Yes"
"37245","Yes","Yes","Yes","Yes","Yes"
"37246","Yes","Yes","Yes","Yes","Yes"
"37247","Yes","Yes","Yes","Yes","Yes"
"37248","Yes","Yes","Yes","Yes","Yes"
"37249","Yes","Yes","Yes","Yes","Yes"
"37250","Yes","Yes","Yes","Yes","Yes"
"37251","Yes","Yes","Yes","Yes","Yes"
"37252","Yes","Yes","Yes","Yes","Yes"
"37253","Yes","Yes","Yes","Yes","Yes"
"37254","Yes","Yes","Yes","Yes","Yes"
"37255","Yes","Yes","Yes","Yes","Yes"
"37256","Yes","Yes","Yes","No","No"
"37257","Yes","Yes","Yes","Yes","Yes"
"37258","Yes","Yes","Yes","Yes","Yes"
"37259","Yes","Yes","Yes","Yes","Yes"
"37260","Yes","Yes","Yes","Yes","Yes"
"37261","Yes","Yes","Yes","Yes","Yes"
"37262","Yes","Yes","Yes","Yes","Yes"
"37263","Yes","Yes","No","Yes","Yes"
"37264","Yes","Yes","Yes","Yes","Yes"
"37265","Yes","Yes","Yes","Yes","Yes"
"37268","Yes","Yes","Yes","Yes","Yes"
"37269","Yes","Yes","No","No","Yes"
"37270","Yes","Yes","Yes","Yes","Yes"
"37271","Yes","Yes","Yes","Yes","Yes"
"37272","Yes","Yes","Yes","Yes","Yes"
"37273","Yes","Yes","Yes","Yes","Yes"
"37274","Yes","Yes","Yes","Yes","No"
"37275","Yes","Yes","Yes","Yes","Yes"
"37276","Yes","Yes","Yes","No","Yes"
"37278","Yes","Yes","Yes","Yes","Yes"
"37279","Yes","Yes","No","No","Yes"
"37280","Yes","Yes","Yes","Yes","Yes"
"37281","Yes","Yes","Yes","Yes","Yes"
"37282","Yes","Yes","Yes","Yes","Yes"
"37283","Yes","Yes","Yes","Yes","Yes"
"37284","Yes","Yes","Yes","Yes","Yes"
"37285","Yes","Yes","Yes","Yes","Yes"
"37286","Yes","Yes","Yes","No","Yes"
"37287","Yes","Yes","Yes","Yes","Yes"
"37288","Yes","Yes","No","Yes","Yes"
"37289","Yes","Yes","Yes","No","No"
"37290","Yes","Yes","No","Yes","Yes"
"37291","Yes","Yes","Yes","Yes","Yes"
"37292","Yes","Yes","Yes","Yes","Yes"
"37294","Yes","Yes","Yes","Yes","Yes"
"37295","Yes","Yes","Yes","Yes","Yes"
"37296","Yes","Yes","Yes","Yes","Yes"
"37297","Yes","Yes","Yes","Yes","Yes"
"37298","Yes","Yes","No","No","Yes"
"37299","Yes","Yes","Yes","Yes","Yes"
"37300","Yes","No","No","No","Yes"
"37321","Yes","Yes","Yes","Yes","Yes"
"37322","Yes","Yes","Yes","Yes","Yes"
"37323","Yes","Yes","Yes","Yes","Yes"
"37324","Yes","Yes","Yes","Yes","Yes"
"37325","Yes","Yes","Yes","Yes","Yes"
"37400","Yes","Yes","No","No","No"
"37401","Yes","Yes","Yes","No","No"
"37402","Yes","Yes","Yes","Yes","Yes"
"37403","Yes","Yes","Yes","Yes","Yes"
"37404","Yes","Yes","Yes","Yes","Yes"
"37405","Yes","Yes","Yes","Yes","Yes"
"37406","Yes","Yes","Yes","Yes","Yes"
"37407","Yes","Yes","Yes","Yes","Yes"
"37408","Yes","Yes","Yes","Yes","Yes"
"37409","Yes","Yes","Yes","Yes","Yes"
"37410","Yes","Yes","No","Yes","Yes"
"37411","Yes","Yes","Yes","Yes","Yes"
"37412","Yes","Yes","No","Yes","Yes"
"37413","Yes","Yes","Yes","Yes","Yes"
"37414","Yes","Yes","Yes","Yes","Yes"
"37415","Yes","Yes","Yes","Yes","Yes"
"37416","Yes","Yes","Yes","Yes","Yes"
"37417","Yes","Yes","Yes","Yes","Yes"
"37418","Yes","Yes","Yes","Yes","Yes"
"37419","Yes","Yes","Yes","Yes","Yes"
"47000","Yes","No","No","No","Yes"
"47001","Yes","Yes","Yes","Yes","Yes"
"47004","Yes","Yes","No","Yes","Yes"
"47006","Yes","Yes","Yes","Yes","Yes"
"47008","Yes","Yes","No","No","Yes"
"47009","Yes","Yes","No","No","Yes"
"47010","Yes","Yes","Yes","Yes","Yes"
"47011","Yes","Yes","No","No","Yes"
"47016","Yes","Yes","No","Yes","Yes"
"47020","Yes","Yes","Yes","Yes","Yes"
"47021","Yes","Yes","Yes","No","Yes"
"47024","Yes","Yes","Yes","No","Yes"
"47025","Yes","Yes","Yes","Yes","Yes"
"47028","Yes","Yes","Yes","Yes","Yes"
"47029","Yes","Yes","Yes","Yes","Yes"
"47030","Yes","Yes","No","No","Yes"
"47031","Yes","Yes","Yes","Yes","Yes"
"47032","Yes","Yes","Yes","Yes","Yes"
"47033","Yes","Yes","Yes","Yes","Yes"
"47034","Yes","Yes","Yes","Yes","Yes"
"47035","Yes","Yes","Yes","Yes","Yes"
"47038","Yes","Yes","Yes","No","Yes"
"47043","Yes","Yes","Yes","Yes","Yes"
"47044","Yes","Yes","No","No","Yes"
"47046","Yes","Yes","Yes","Yes","Yes"
"47048","Yes","Yes","Yes","Yes","Yes"
"47052","Yes","Yes","Yes","No","Yes"
"47056","Yes","Yes","Yes","No","Yes"
"47057","Yes","Yes","No","Yes","Yes"
"47070","Yes","Yes","Yes","Yes","Yes"
"47080","Yes","Yes","Yes","Yes","Yes"
"47081","Yes","Yes","No","No","Yes"
"47082","Yes","Yes","Yes","No","Yes"
"47083","Yes","Yes","Yes","Yes","Yes"
"47087","Yes","Yes","Yes","Yes","Yes"
"47088","Yes","Yes","Yes","No","Yes"
"47090","Yes","Yes","Yes","Yes","Yes"
"47093","Yes","Yes","Yes","Yes","Yes"
"47096","Yes","Yes","Yes","Yes","Yes"
"47097","Yes","Yes","Yes","Yes","Yes"
"47099","Yes","Yes","Yes","No","Yes"
"47100","Yes","Yes","No","No","Yes"
"47102","Yes","Yes","Yes","Yes","Yes"
"47103","Yes","Yes","Yes","No","Yes"
"47104","Yes","Yes","Yes","No","Yes"
"47105","Yes","Yes","Yes","No","Yes"
"47108","Yes","Yes","No","No","Yes"
"47109","Yes","Yes","Yes","Yes","Yes"
"47110","Yes","Yes","Yes","Yes","Yes"
"47112","Yes","No","No","No","Yes"
"47114","Yes","Yes","Yes","Yes","Yes"
"47115","Yes","Yes","Yes","Yes","Yes"
"47116","Yes","Yes","No","No","Yes"
"47117","Yes","Yes","Yes","Yes","Yes"
"47118","Yes","Yes","No","Yes","Yes"
"47122","Yes","Yes","Yes","Yes","Yes"
"47127","Yes","Yes","Yes","Yes","Yes"
"47128","Yes","Yes","Yes","Yes","Yes"
"47133","Yes","Yes","No","Yes","Yes"
"47134","Yes","Yes","Yes","Yes","Yes"
"47135","Yes","Yes","No","No","Yes"
"47138","Yes","Yes","Yes","No","Yes"
"47139","Yes","Yes","Yes","Yes","Yes"
"47140","Yes","Yes","Yes","No","Yes"
"47145","Yes","Yes","Yes","Yes","Yes"
"47147","Yes","Yes","Yes","Yes","Yes"
"47148","Yes","Yes","No","No","Yes"
"47149","Yes","Yes","Yes","Yes","Yes"
"47151","Yes","Yes","Yes","Yes","Yes"
"47153","Yes","Yes","No","No","Yes"
"47156","Yes","Yes","Yes","Yes","Yes"
"47157","Yes","Yes","No","Yes","Yes"
"47158","Yes","Yes","No","Yes","Yes"
"47162","Yes","Yes","No","No","Yes"
"47167","Yes","Yes","Yes","No","Yes"
"47168","Yes","Yes","Yes","Yes","Yes"
"47169","Yes","Yes","Yes","Yes","Yes"
"47170","Yes","Yes","Yes","Yes","Yes"
"47171","Yes","Yes","No","No","Yes"
"47172","Yes","Yes","Yes","Yes","Yes"
"47173","Yes","Yes","Yes","No","Yes"
"47174","Yes","Yes","No","No","Yes"
"47175","Yes","Yes","Yes","No","Yes"
"47176","Yes","Yes","No","No","Yes"
"47177","Yes","No","No","No","Yes"
"47306","Yes","Yes","Yes","No","Yes"
"47307","Yes","Yes","No","No","Yes"
"47308","Yes","Yes","No","Yes","Yes"
"47309","Yes","Yes","No","No","Yes"
"47310","Yes","Yes","No","No","Yes"
"47313","Yes","Yes","No","No","Yes"
"47314","Yes","No","No","No","Yes"
"47315","Yes","Yes","No","No","Yes"
"47326","Yes","Yes","Yes","Yes","Yes"
"47338","Yes","Yes","No","Yes","Yes"
"47339","Yes","Yes","Yes","No","Yes"
"47346","Yes","Yes","Yes","Yes","Yes"
"47800","Yes","Yes","Yes","No","Yes"
"47801","Yes","Yes","Yes","No","Yes"
"47803","Yes","Yes","No","No","Yes"
"47804","Yes","Yes","No","No","Yes"
"47805","Yes","Yes","No","No","Yes"
"47806","Yes","Yes","Yes","No","Yes"
"47807","Yes","Yes","No","No","Yes"
"47809","Yes","Yes","Yes","Yes","Yes"
"47810","Yes","Yes","No","No","Yes"
"47811","Yes","Yes","No","Yes","Yes"
"47812","Yes","Yes","No","No","Yes"
"47814","Yes","Yes","Yes","No","Yes"
"47816","Yes","No","No","No","Yes"
"47818","Yes","Yes","No","No","Yes"
"47819","Yes","Yes","No","No","Yes"
"47820","Yes","Yes","No","No","Yes"
"47821","Yes","Yes","No","Yes","Yes"
"47822","Yes","Yes","No","No","Yes"
"47823","Yes","Yes","Yes","No","Yes"
"47824","Yes","Yes","No","Yes","No"
"47825","Yes","Yes","No","No","Yes"
"47826","Yes","Yes","Yes","No","Yes"
"47827","Yes","Yes","No","No","Yes"
"47828","Yes","Yes","No","No","Yes"
"47829","Yes","Yes","No","No","Yes"
"47830","Yes","Yes","No","No","Yes"
"47831","Yes","Yes","No","No","Yes"
"47832","Yes","Yes","No","No","Yes"
"47833","Yes","Yes","No","No","Yes"
"47834","Yes","Yes","No","No","Yes"
"47835","Yes","Yes","No","No","Yes"
"47836","Yes","Yes","Yes","No","Yes"
"47837","Yes","Yes","Yes","No","Yes"
"47838","Yes","Yes","No","No","Yes"
"47839","Yes","Yes","No","No","Yes"
"47840","Yes","Yes","No","No","Yes"
"47841","Yes","Yes","Yes","No","Yes"
"47842","Yes","Yes","No","Yes","Yes"
"47844","Yes","Yes","No","No","Yes"
"47845","Yes","Yes","No","No","Yes"
"47846","Yes","Yes","No","Yes","Yes"
"47847","Yes","Yes","Yes","Yes","Yes"
"47848","Yes","Yes","Yes","No","Yes"
"47849","Yes","Yes","No","No","Yes"
"47850","Yes","Yes","No","Yes","Yes"
"47851","Yes","Yes","No","No","Yes"
"47852","Yes","Yes","No","No","Yes"
"47853","Yes","Yes","Yes","No","Yes"
"47854","Yes","Yes","No","No","Yes"
"47855","Yes","Yes","No","Yes","Yes"
"47858","Yes","Yes","No","No","Yes"
"47859","Yes","No","No","No","Yes"
"47860","Yes","Yes","Yes","Yes","Yes"
"47862","Yes","Yes","No","No","Yes"
"47863","Yes","Yes","No","No","Yes"
"47864","Yes","Yes","Yes","Yes","Yes"
"47865","Yes","Yes","No","No","Yes"
"47869","Yes","Yes","No","No","Yes"
"47870","Yes","Yes","Yes","No","Yes"
"47871","Yes","Yes","Yes","No","Yes"
"47872","Yes","Yes","No","No","Yes"
"47873","Yes","Yes","No","No","Yes"
"47874","Yes","Yes","Yes","Yes","Yes"
"47875","Yes","No","No","No","Yes"
"47876","Yes","Yes","No","No","Yes"
"47877","Yes","No","No","No","Yes"
"47878","Yes","Yes","No","No","Yes"
"47880","Yes","Yes","Yes","Yes","Yes"
"47883","Yes","Yes","No","No","Yes"
"47884","Yes","Yes","No","Yes","Yes"
"47886","Yes","Yes","Yes","No","Yes"
"47887","Yes","Yes","No","No","Yes"
"47888","Yes","Yes","Yes","No","Yes"
"47889","Yes","Yes","Yes","Yes","Yes"
"57002","Yes","Yes","Yes","Yes","Yes"
"57003","Yes","Yes","Yes","Yes","Yes"
"57004","Yes","Yes","Yes","Yes","Yes"
"57007","Yes","Yes","Yes","Yes","Yes"
"57008","Yes","Yes","Yes","Yes","Yes"
"57013","Yes","Yes","Yes","Yes","Yes"
"57018","Yes","Yes","Yes","Yes","Yes"
"57019","Yes","Yes","Yes","Yes","Yes"
"57021","Yes","Yes","Yes","Yes","Yes"
"57031","Yes","Yes","Yes","Yes","Yes"
"57033","Yes","Yes","Yes","Yes","Yes"
"57036","Yes","Yes","Yes","Yes","Yes"
"57040","Yes","Yes","Yes","Yes","Yes"
"57053","Yes","Yes","Yes","Yes","Yes"
"57071","Yes","Yes","Yes","Yes","Yes"
"57072","Yes","Yes","Yes","Yes","Yes"
"57100","Yes","Yes","Yes","Yes","Yes"
"57114","Yes","Yes","Yes","Yes","Yes"
"57129","Yes","No","No","No","Yes"
"57135","Yes","Yes","Yes","Yes","Yes"
"57136","Yes","Yes","Yes","Yes","Yes"
"57138","Yes","Yes","Yes","Yes","No"
"57143","Yes","Yes","Yes","Yes","Yes"
"57163","Yes","Yes","Yes","Yes","Yes"
"57168","Yes","Yes","Yes","Yes","Yes"
"57187","Yes","Yes","Yes","Yes","Yes"
"57190","Yes","Yes","Yes","Yes","Yes"
"57198","Yes","Yes","Yes","Yes","Yes"
"57200","Yes","Yes","Yes","Yes","Yes"
"57203","Yes","Yes","Yes","Yes","Yes"
"57205","Yes","Yes","No","Yes","Yes"
"57212","Yes","Yes","Yes","Yes","Yes"
"57214","Yes","Yes","Yes","Yes","Yes"
"57219","Yes","Yes","Yes","Yes","Yes"
"57226","Yes","Yes","Yes","Yes","Yes"
"57230","Yes","Yes","Yes","Yes","Yes"
"57234","Yes","Yes","Yes","Yes","Yes"
"57246","Yes","Yes","Yes","Yes","Yes"
"57248","Yes","Yes","Yes","Yes","Yes"
"57252","Yes","Yes","Yes","Yes","Yes"
"57255","Yes","Yes","Yes","Yes","Yes"
"57256","Yes","Yes","Yes","Yes","Yes"
"57258","Yes","Yes","Yes","Yes","Yes"
"57274","Yes","Yes","Yes","Yes","Yes"
"57276","Yes","Yes","Yes","Yes","Yes"
"57278","Yes","Yes","Yes","Yes","Yes"
"57368","Yes","Yes","Yes","Yes","Yes"
"57374","Yes","No","No","No","Yes"
"57404","Yes","Yes","Yes","Yes","Yes"
"57407","Yes","Yes","Yes","Yes","Yes"
"57412","Yes","Yes","Yes","Yes","Yes"
"57413","Yes","Yes","Yes","Yes","Yes"
"57415","Yes","Yes","No","Yes","Yes"
"57422","Yes","Yes","Yes","Yes","Yes"
"57426","Yes","Yes","Yes","Yes","Yes"
"57427","Yes","Yes","Yes","Yes","Yes"
"57428","Yes","Yes","Yes","Yes","Yes"
"57432","Yes","Yes","Yes","Yes","Yes"
"57433","Yes","Yes","Yes","Yes","Yes"
"57445","Yes","Yes","Yes","Yes","Yes"
"57446","Yes","Yes","Yes","Yes","Yes"
"57447","Yes","Yes","Yes","Yes","Yes"
"57448","Yes","Yes","Yes","Yes","Yes"
"57449","Yes","Yes","Yes","Yes","Yes"
"57456","Yes","Yes","Yes","Yes","No"
"57470","Yes","Yes","Yes","Yes","Yes"
"57477","Yes","Yes","Yes","Yes","Yes"
"57483","Yes","Yes","Yes","Yes","Yes"
"57487","Yes","Yes","No","No","No"
"57494","Yes","Yes","Yes","Yes","Yes"
"57495","Yes","Yes","Yes","Yes","Yes"
"57497","Yes","Yes","Yes","Yes","Yes"
"57503","Yes","Yes","Yes","Yes","Yes"
"57505","Yes","Yes","Yes","Yes","Yes"
"57511","Yes","Yes","Yes","Yes","Yes"
"57517","Yes","Yes","Yes","Yes","Yes"
"57524","Yes","Yes","Yes","Yes","Yes"
"57537","Yes","Yes","Yes","Yes","Yes"
"57539","Yes","Yes","Yes","Yes","Yes"
"57545","Yes","Yes","Yes","Yes","Yes"
"57564","Yes","Yes","Yes","Yes","Yes"
"57567","Yes","Yes","Yes","Yes","Yes"
"57569","Yes","Yes","Yes","Yes","Yes"
"57570","Yes","Yes","Yes","Yes","Yes"
"57571","Yes","Yes","Yes","Yes","Yes"
"57573","Yes","Yes","Yes","Yes","Yes"
"57576","Yes","Yes","Yes","Yes","Yes"
"57598","Yes","Yes","Yes","Yes","Yes"
"57600","Yes","Yes","Yes","Yes","Yes"
"57602","Yes","Yes","Yes","Yes","Yes"
"57605","Yes","Yes","Yes","Yes","Yes"
"57606","Yes","Yes","Yes","Yes","Yes"
"57609","Yes","Yes","Yes","Yes","Yes"
"57620","Yes","Yes","Yes","Yes","Yes"
"57627","Yes","Yes","Yes","Yes","Yes"
"57631","Yes","Yes","Yes","Yes","Yes"
"57645","Yes","Yes","Yes","Yes","Yes"
"57657","Yes","Yes","Yes","Yes","Yes"
