"CMS_Cert_Num","Question_1","Question_2","Question_3","Question_4","Question_5","Question_6","Question_7","Question_8","Question_9","Question_10","Question_11","Question_12","Question_13","Question_14","Question_15","Question_16","Question_17","Question_18","Question_19"
"17874","89","97","85","100","67","58","96","100","98","97","100","71","72","77","66","60","36","17","10"
"17875","99","92","71","100","62","48","100","98","95","90","99","37","45","60","51","36","34","19","18"
"17876","68","92","80","94","60","63","98","99","93","98","98","48","34","57","56","59","29","14","14"
"27001","66","63","96","45","66","46","70","98","95","90","74","45","47","54","49","56","58","11","14"
"27002","90","95","97","97","68","55","98","100","98","95","100","45","47","58","57","58","40","19","19"
"27007","64","98","97","93","68","69","96","97","95","92","98","54","51","67","61","71","53","13","23"
"27010","94","97","88","99","66","74","97","99","100","99","100","43","41","56","60","32","37","23","20"
"27014","82","92","79","100","47","42","96","99","95","99","100","53","50","52","35","62","50","19","21"
"27021","68","78","91","100","35","41","98","95","91","86","100","53","45","59","57","76","44","17","17"
"27022","86","88","94","93","68","69","99","97","96","70","87","56","60","73","61","70","52","0","15"
"27024","83","95","99","98","60","57","99","100","99","99","100","45","37","54","52","60","34","14","17"
"27032","93","93","98","100","74","74","99","97","95","93","100","55","47","65","67","59","49","10","20"
"37011","96","95","100","100","62","48","99","100","98","100","99","56","49","65","61","66","42","10","18"
"37015","95","96","99","95","78","81","96","100","100","99","99","57","66","70","63","76","47","12","10"
"37016","66","88","97","72","47","48","87","95","99","98","99","45","50","52","57","59","38","10","17"
"37020","95","86","94","98","85","81","98","100","94","97","100","66","65","73","71","73","48","12","12"
"37024","77","92","99","97","65","61","98","100","99","95","98","52","47","64","61","67","49","17","11"
"37027","86","92","71","97","57","64","97","97","97","98","94","48","42","50","62","60","44","11","18"
"37028","87","93","94","91","62","68","98","94","80","81","98","62","64","81","73","74","61","18","17"
"37030","99","94","98","98","76","75","100","100","100","100","100","63","59","71","55","69","58","11","15"
"37036","92","93","99","98","60","61","99","98","93","98","100","57","52","70","57","71","55","10","16"
"37037","97","81","93","87","75","71","97","86","60","85","97","50","58","59","53","58","45","18","12"
"37042","94","92","63","85","53","54","83","75","45","57","94","50","62","65","57","55","49","15","11"
"37047","99","100","99","99","65","68","100","100","100","100","100","46","45","68","61","60","46","21","16"
"37050","87","95","99","99","60","61","99","99","95","92","98","48","52","56","61","68","46","11","16"
"37052","87","99","99","99","62","47","99","99","97","100","99","57","56","68","66","61","63","14","15"
"37057","91","96","97","96","73","69","99","99","96","91","100","58","54","72","74","78","60","13","17"
"37068","87","86","97","100","52","48","98","98","97","99","98","58","52","71","65","73","54","10","18"
"37070","69","91","89","87","57","71","89","98","96","94","94","53","65","66","71","78","63","18","11"
"37099","78","85","98","95","71","57","97","99","98","99","99","36","25","35","44","37","21","10","20"
"37101","92","98","96","100","92","93","99","99","100","94","100","57","50","61","73","66","44","11","15"
"37106","88","68","96","98","63","66","98","95","95","95","99","52","51","62","61","68","52","18","8"
"37112","96","99","99","99","67","75","100","100","100","100","99","53","51","69","63","66","45","15","13"
"37114","67","41","96","80","32","31","87","88","95","87","80","64","52","53","47","68","26","10","20"
"37118","68","82","98","94","55","69","96","99","100","96","97","46","47","47","64","48","40","10","20"
"37125","93","93","100","99","70","69","98","100","100","99","99","48","39","53","71","74","43","19","23"
"37130","87","94","100","98","75","72","99","97","96","99","99","54","53","68","65","74","51","13","21"
"37133","95","88","100","99","63","63","100","99","94","99","100","49","60","68","57","65","47","13","16"
"37139","81","81","100","99","78","77","98","99","98","99","93","53","59","60","58","74","44","12","18"
"37144","86","89","98","96","79","77","99","94","85","93","99","69","74","79","76","73","66","16","20"
"37146","95","89","92","98","58","56","98","99","100","95","99","49","56","61","60","69","42","20","13"
"37154","95","93","96","96","93","88","94","97","94","96","98","54","63","73","61","65","48","18","9"
"37178","87","94","97","89","87","89","95","98","99","98","96","50","48","68","52","75","45","21","15"
"37179","93","95","100","99","83","88","99","100","100","100","99","52","60","67","60","73","46","7","18"
"37185","95","98","100","99","88","85","100","99","98","100","100","58","54","67","69","68","43","10","14"
"37188","88","98","99","100","78","71","100","100","98","99","100","59","52","72","67","72","56","12","16"
"37192","93","97","100","100","55","58","99","100","99","98","99","54","57","64","62","69","53","13","14"
"37199","95","96","100","97","73","73","100","99","96","95","98","51","60","67","64","70","54","12","14"
"37206","99","99","100","100","69","67","100","100","100","100","100","54","64","66","55","73","47","12","21"
"37212","89","91","93","94","80","79","98","97","93","87","99","55","53","72","66","72","51","10","16"
"37213","87","81","96","98","60","67","97","97","92","97","99","50","59","64","57","70","55","11","18"
"37215","96","82","100","100","77","72","99","98","98","99","100","48","51","66","44","72","46","8","13"
"37216","94","80","99","98","63","64","98","98","92","96","96","52","52","64","66","73","54","21","14"
"37217","96","76","94","98","61","56","99","96","93","100","100","56","57","63","61","61","46","10","16"
"37219","98","100","100","100","65","75","100","100","100","100","100","62","62","74","72","72","56","12","15"
"37220","79","83","71","99","81","81","96","99","94","92","99","53","56","62","66","72","50","10","14"
"37224","88","96","97","100","89","80","100","100","97","97","100","60","51","65","75","72","54","13","10"
"37225","94","94","100","99","84","75","100","97","93","99","99","54","48","62","59","66","51","12","14"
"37226","94","99","100","100","74","69","100","100","100","100","100","59","57","72","74","54","63","12","16"
"37229","91","97","100","100","74","75","99","98","98","100","100","63","59","72","78","69","65","12","19"
"37231","81","98","100","100","70","74","100","99","99","100","98","42","46","51","67","60","47","9","17"
"37232","91","89","100","100","93","95","99","99","100","99","95","60","52","70","74","78","56","11","14"
"37233","96","97","100","98","85","88","100","100","99","100","99","65","62","78","74","70","58","13","16"
"37234","85","94","98","100","75","66","99","99","99","99","98","51","47","70","75","70","61","14","15"
"37235","95","94","100","100","69","68","99","100","99","100","99","64","65","76","65","75","62","11","15"
"37237","87","89","73","100","73","89","97","100","99","100","96","55","51","62","56","53","41","15","16"
"37238","100","98","100","100","95","98","100","99","100","100","99","71","61","100","100","93","69","10","20"
"37239","94","93","95","97","73","75","100","100","99","100","100","57","52","69","73","69","49","13","16"
"37242","74","92","99","98","51","36","99","77","95","94","98","47","52","73","69","69","46","10","20"
"37243","99","100","100","100","96","91","100","100","100","100","100","68","66","81","92","82","66","13","15"
"37244","96","94","99","95","84","89","97","99","99","99","96","54","57","69","57","73","48","12","14"
"37245","88","99","100","100","73","77","100","100","100","100","100","48","42","57","62","64","30","15","17"
"37246","96","97","100","100","68","68","100","100","100","100","100","65","63","71","54","74","57","17","16"
"37247","96","100","100","100","99","99","100","100","100","100","100","69","66","83","68","77","57","12","17"
"37248","86","74","95","94","70","71","93","95","87","98","91","41","40","60","49","60","39","3","27"
"37249","97","98","100","51","86","33","99","100","100","100","99","60","47","47","80","68","51","8","17"
"37250","76","89","99","80","46","46","98","92","73","72","96","48","59","56","48","58","38","14","11"
"37251","84","74","92","100","76","85","100","100","100","100","97","40","47","59","74","53","37","9","12"
"37252","90","89","98","97","75","70","99","99","99","97","94","47","49","57","57","60","51","8","22"
"37253","89","84","88","99","66","80","100","100","100","98","99","54","58","76","73","81","50","14","21"
"37254","86","96","98","97","77","80","99","99","98","91","99","53","43","57","51","70","42","12","16"
"37255","77","99","99","98","92","86","99","99","99","95","100","65","48","71","57","97","42","14","15"
"37256","97","90","100","100","48","39","100","100","100","99","100","58","65","68","69","67","48","8","12"
"37257","82","96","99","98","88","36","99","100","100","100","98","61","67","75","79","85","68","8","20"
"37259","93","98","97","100","80","82","100","100","100","100","100","65","61","74","52","55","44","10","16"
"37260","95","93","100","95","78","80","98","99","99","98","94","67","64","76","85","76","50","12","13"
"37261","94","90","100","98","48","45","99","99","98","99","98","53","63","67","63","73","48","17","14"
"37262","100","69","97","82","64","42","100","98","97","89","99","66","67","72","68","76","46","17","22"
"37263","95","93","100","98","71","61","98","100","99","100","92","44","45","55","61","44","41","14","23"
"37265","98","100","98","97","71","81","97","99","98","100","98","72","70","72","87","71","54","12","23"
"37268","93","84","97","69","47","49","93","84","48","70","90","45","57","71","64","70","42","13","12"
"37269","83","99","100","100","72","76","100","100","100","100","100","36","33","37","40","27","33","15","20"
"37270","99","89","97","99","86","87","98","99","100","100","96","53","60","69","76","73","57","7","14"
"37274","91","70","99","97","38","29","100","99","94","78","100","46","57","69","66","65","45","10","12"
"37275","88","94","95","92","51","58","91","100","100","100","100","56","35","59","42","42","30","14","17"
"37276","84","98","100","96","67","49","98","99","98","97","98","50","63","83","74","77","51","11","16"
"37279","95","94","100","99","87","86","99","100","94","99","94","67","62","69","62","62","53","12","16"
"37280","81","71","98","93","90","83","100","96","59","","97","26","15","57","43","58","17","10","20"
"37281","92","79","90","88","85","80","94","96","93","97","95","49","55","57","64","64","47","14","13"
"37282","81","73","98","64","67","69","92","95","96","96","96","39","37","53","56","51","33","10","24"
"37285","95","88","100","100","51","58","100","96","92","97","97","53","56","64","55","72","47","10","20"
"37286","95","95","100","100","80","77","100","99","98","99","100","67","54","66","71","76","57","14","14"
"37289","82","99","100","87","86","86","85","95","100","100","99","69","74","75","69","91","58","11","25"
"37290","88","94","100","100","78","87","100","97","100","96","99","70","85","81","75","89","63","5","8"
"37292","81","96","97","95","70","62","98","98","96","98","96","57","55","63","72","69","47","19","15"
"37295","98","94","100","100","86","92","98","100","100","100","100","92","76","88","84","80","63","15","14"
"37296","77","56","100","96","76","75","99","99","100","100","96","64","47","67","63","59","56","17","17"
"37297","95","93","100","87","49","47","99","99","97","99","98","55","51","67","67","61","50","15","18"
"37300","84","96","90","99","55","38","98","96","94","94","98","50","49","54","58","58","37","8","16"
"37321","88","98","99","100","84","86","99","100","100","100","99","57","64","56","61","65","47","13","6"
"37322","99","98","100","100","84","87","100","100","100","100","99","63","61","64","80","70","57","8","13"
"37323","96","92","100","100","72","70","100","100","100","100","99","63","64","80","81","76","64","7","21"
"37401","90","73","100","99","67","63","99","100","100","99","99","60","50","62","56","70","53","16","17"
"37407","98","96","100","100","99","99","100","99","100","99","100","81","75","93","86","84","57","9","11"
"37408","61","78","93","54","30","34","95","85","42","54","91","28","35","32","41","67","35","6","15"
"37410","87","94","100","99","95","90","94","100","99","100","100","57","55","65","75","69","42","15","18"
"47000","91","96","100","100","54","49","100","99","96","100","99","46","47","56","55","56","42","10","17"
"47001","92","94","99","100","73","89","99","100","100","98","99","53","51","68","64","66","44","11","24"
"47004","94","98","92","100","73","73","99","100","97","100","100","61","60","69","72","56","50","13","16"
"47008","91","90","99","99","48","47","99","99","99","99","100","52","45","57","51","51","39","13","20"
"47009","87","81","92","100","69","69","100","95","85","95","100","59","47","66","66","66","52","11","18"
"47010","99","96","100","100","75","56","100","100","93","99","99","61","65","67","56","65","51","12","16"
"47011","88","76","95","99","63","69","99","99","93","95","100","64","59","71","62","60","50","10","19"
"47016","94","93","98","96","68","71","98","97","80","88","99","64","56","73","67","71","54","10","17"
"47020","94","99","99","97","71","73","99","99","94","95","99","57","60","59","73","72","43","11","16"
"47021","93","96","99","97","80","70","99","100","100","100","97","61","60","71","64","64","41","8","22"
"47024","99","100","100","100","80","87","100","100","100","100","100","77","75","84","85","74","68","14","16"
"47025","94","92","100","99","52","49","100","99","97","100","100","57","58","59","55","47","40","10","18"
"47028","87","86","97","95","67","69","99","89","83","96","98","54","54","69","70","67","50","12","22"
"47030","95","78","99","97","71","74","99","98","94","94","99","55","56","61","58","59","48","16","18"
"47031","82","78","100","100","48","44","99","97","94","97","97","46","59","62","77","69","49","14","20"
"47032","97","90","95","98","70","75","98","79","89","100","100","72","71","77","66","65","61","11","19"
"47033","90","63","97","99","59","44","96","98","96","96","95","69","55","67","64","58","63","11","19"
"47034","98","98","97","99","88","86","99","100","100","100","99","68","68","76","87","74","57","13","16"
"47035","88","90","97","98","84","85","100","98","87","98","100","58","47","69","62","49","46","11","18"
"47038","89","86","100","98","76","76","100","99","98","100","97","49","61","69","69","72","48","14","17"
"47043","75","71","99","95","72","84","99","95","92","96","99","57","60","72","68","64","45","14","21"
"47044","96","96","99","99","73","72","100","100","88","99","99","75","76","76","70","70","66","14","24"
"47046","84","98","89","100","74","74","100","95","92","98","100","45","50","50","76","72","58","14","24"
"47048","91","98","100","100","80","78","100","98","95","95","100","72","61","83","82","83","62","10","22"
"47052","91","94","94","100","87","89","100","99","96","94","100","60","54","68","53","49","55","12","19"
"47056","82","83","97","100","70","76","99","95","89","88","100","67","57","72","69","71","59","14","20"
"47057","92","49","97","98","72","66","98","83","84","98","98","54","48","61","65","58","41","13","19"
"47070","91","96","93","100","80","79","99","97","88","94","100","62","58","68","67","74","62","9","19"
"47080","91","66","100","99","65","76","100","99","94","100","100","66","58","70","56","68","54","16","12"
"47081","96","92","100","100","52","49","100","100","100","100","100","57","50","65","74","67","50","12","22"
"47082","95","92","100","100","70","67","98","100","99","100","100","63","78","83","77","74","67","14","15"
"47083","94","62","99","100","73","68","99","98","93","99","99","56","58","59","53","49","37","9","17"
"47087","89","93","98","99","93","89","99","100","99","100","97","71","56","71","67","53","71","14","20"
"47088","98","98","90","98","61","60","99","100","100","100","100","53","58","66","63","50","47","9","20"
"47090","95","99","90","99","84","86","100","100","100","99","99","62","49","67","60","54","49","15","19"
"47093","90","100","99","99","64","65","100","100","99","99","99","58","56","46","55","51","50","8","29"
"47096","99","100","94","99","79","70","99","100","100","100","100","60","72","71","65","64","44","15","14"
"47097","93","95","98","100","72","69","100","98","97","100","99","62","63","65","68","60","47","16","15"
"47099","83","51","100","100","91","70","100","91","96","99","99","50","48","59","63","48","18","20","13"
"47100","87","81","95","97","72","81","98","99","93","95","98","56","63","66","64","69","40","13","14"
"47102","93","99","100","100","80","80","100","100","100","100","100","61","48","57","82","69","47","14","16"
"47103","93","97","100","100","99","98","96","98","98","98","98","56","61","60","69","51","49","20","20"
"47104","91","88","95","98","80","84","100","92","82","95","99","54","49","64","54","65","46","11","20"
"47105","98","96","100","100","87","92","100","100","100","98","100","65","50","63","69","72","58","14","13"
"47108","91","90","99","99","75","76","98","94","88","100","100","50","40","65","50","46","32","13","11"
"47109","88","83","86","98","46","32","96","99","100","96","95","51","51","54","63","49","36","11","25"
"47110","96","100","100","100","64","62","97","100","98","89","100","75","60","79","74","77","61","19","17"
"47112","92","90","85","97","68","78","99","98","97","98","100","43","46","47","50","41","28","13","15"
"47114","95","95","99","99","78","81","100","100","99","98","98","62","62","70","59","51","63","14","20"
"47115","84","82","100","100","75","59","100","94","75","71","99","52","51","53","59","45","28","16","15"
"47116","91","62","82","97","74","71","100","72","74","98","99","60","59","69","59","63","45","11","24"
"47117","95","96","90","98","69","80","99","100","100","100","97","61","57","64","65","62","56","10","22"
"47118","92","89","100","99","70","67","100","100","99","100","98","57","46","66","60","62","47","15","15"
"47127","89","92","96","97","74","74","100","99","94","99","99","59","53","61","58","36","47","13","16"
"47128","97","99","99","98","88","92","100","100","100","100","100","74","64","93","80","70","71","18","16"
"47133","93","92","94","99","84","82","100","97","97","99","98","65","61","75","61","64","55","13","18"
"47134","85","84","98","97","81","72","99","99","93","97","98","51","40","51","46","35","21","12","15"
"47135","92","92","96","96","85","85","98","100","99","99","93","67","58","72","60","58","57","18","16"
"47138","97","98","99","100","69","67","99","100","100","100","100","68","71","81","66","68","59","17","15"
"47139","97","95","100","100","66","57","99","100","100","100","99","66","46","63","63","63","50","15","18"
"47140","91","97","100","99","86","87","99","100","96","98","97","55","49","66","58","53","48","15","15"
"47145","97","80","99","100","82","80","100","96","81","100","98","59","59","66","76","75","51","12","15"
"47147","95","98","100","100","69","80","100","100","100","99","100","57","52","63","59","65","58","16","14"
"47148","98","100","100","100","81","84","100","100","100","100","100","60","65","70","61","66","45","17","18"
"47149","89","94","98","98","81","83","100","99","97","99","98","60","53","69","70","61","52","13","18"
"47151","98","98","99","99","93","89","100","99","100","100","99","57","46","68","56","49","54","17","15"
"47153","87","82","99","100","66","13","99","100","99","100","99","58","38","63","55","53","39","17","5"
"47156","99","77","100","100","28","23","99","100","100","98","96","76","69","64","74","59","50","13","22"
"47157","86","87","100","100","75","65","100","100","100","98","97","61","47","62","42","58","53","12","19"
"47158","93","70","100","100","92","91","100","100","100","","100","56","37","54","21","38","35","22","16"
"47162","90","82","100","100","61","58","99","99","86","100","100","50","52","55","60","45","46","11","15"
"47167","96","92","100","100","76","72","100","96","96","99","100","44","35","51","50","41","27","15","16"
"47168","93","96","84","99","93","94","99","98","100","99","100","70","52","71","70","38","55","12","12"
"47169","95","92","92","99","75","78","99","99","98","100","99","52","54","55","58","61","41","15","15"
"47171","95","99","84","100","84","88","99","98","98","97","99","52","51","59","54","47","46","15","17"
"47172","91","90","100","97","75","81","100","100","100","100","100","53","57","58","49","67","43","14","23"
"47173","88","78","95","97","71","72","99","99","92","96","97","71","59","74","69","63","59","15","16"
"47174","95","95","100","99","95","90","100","100","100","100","100","52","34","53","51","33","28","13","15"
"47176","86","99","100","100","86","93","100","100","100","100","99","54","32","65","68","31","38","16","17"
"47315","98","99","95","98","70","64","100","99","99","100","100","56","63","69","66","69","47","13","12"
"47326","96","88","95","98","65","69","99","98","95","98","100","62","60","74","64","64","55","7","18"
"47338","86","100","100","100","84","90","99","100","100","100","100","60","53","68","72","56","48","14","18"
"47339","90","91","99","99","82","74","96","98","95","97","100","59","50","69","62","72","43","11","13"
"47801","92","97","99","100","70","87","99","100","100","99","100","33","26","40","37","27","32","12","18"
"47804","94","97","100","99","68","89","100","100","100","100","99","30","30","21","24","18","35","12","12"
"47807","77","95","100","100","61","61","97","100","96","100","100","42","36","44","57","26","46","9","19"
"47823","95","82","99","99","59","34","97","100","93","98","100","48","46","48","65","55","36","12","18"
"47829","84","86","94","88","64","85","98","95","97","100","92","61","35","48","41","34","26","25","5"
"47832","94","84","99","99","38","26","94","100","100","98","92","46","33","37","35","40","35","24","27"
"47834","95","77","98","98","78","45","94","100","97","98","98","35","32","43","35","37","39","13","20"
"47835","100","100","100","100","88","41","100","100","100","100","100","35","26","70","62","65","44","10","20"
"47839","89","91","100","100","45","17","99","99","97","98","100","46","25","47","40","15","39","7","16"
"47842","91","91","100","100","52","18","100","97","100","100","100","36","19","18","19","30","22","9","15"
"47844","85","100","100","100","100","95","98","100","100","","100","53","36","55","53","32","4","17","20"
"47845","90","82","97","97","66","39","92","99","100","100","94","46","38","51","58","43","36","8","17"
"47849","95","97","99","100","83","91","98","99","100","100","99","41","43","48","39","24","20","12","19"
"47852","96","92","100","100","35","18","98","98","95","100","100","44","31","39","39","32","27","10","20"
"47854","95","95","96","94","49","80","95","97","97","100","94","51","30","27","28","22","27","10","20"
"47859","96","95","100","97","69","52","98","100","97","94","96","49","31","52","40","38","31","9","16"
"47860","89","80","100","98","42","47","98","91","94","97","99","44","23","27","40","35","26","22","7"
"47863","94","99","100","100","67","64","100","99","100","100","100","31","30","37","32","39","18","3","22"
"47864","87","92","100","100","67","65","97","100","100","100","100","56","42","40","31","21","28","15","23"
"47865","94","95","92","99","71","87","93","100","98","98","96","59","41","59","36","59","52","8","23"
"47869","88","88","99","99","71","84","97","100","91","100","95","62","46","63","46","46","23","9","17"
"47870","96","53","99","100","74","90","98","100","100","100","100","58","43","58","41","22","51","10","21"
"47877","90","100","100","100","84","99","100","98","100","100","99","51","42","60","59","32","36","11","18"
"47889","90","90","94","97","76","74","99","98","97","97","99","67","59","68","66","75","55","14","16"
"57002","93","95","85","90","50","52","98","99","98","96","98","62","56","71","70","82","59","12","14"
"57003","90","94","94","96","72","72","99","99","96","96","99","64","61","72","72","79","54","12","15"
"57004","95","95","98","95","70","70","99","100","99","98","99","70","67","83","69","76","64","11","16"
"57007","86","94","99","100","71","70","99","99","99","100","100","56","60","67","60","70","42","11","17"
"57008","82","84","88","99","41","39","98","98","95","98","99","50","52","57","55","57","38","12","15"
"57013","92","97","100","89","66","78","99","100","100","100","100","60","60","68","82","71","44","7","17"
"57018","94","96","99","99","80","82","97","98","91","99","98","50","50","64","65","63","44","15","13"
"57019","95","94","100","99","76","75","99","100","100","98","100","57","58","60","72","79","47","12","15"
"57021","92","95","93","94","83","80","99","99","98","92","98","67","62","77","85","85","59","11","15"
"57031","80","92","94","97","72","69","98","98","99","96","100","54","61","57","61","60","40","13","14"
"57033","93","100","93","95","81","71","100","98","81","100","99","61","56","65","57","61","54","15","13"
"57036","90","98","88","98","73","65","99","99","98","100","100","56","57","65","57","61","39","12","14"
"57040","87","93","99","94","74","87","98","100","99","99","96","61","55","68","72","79","48","10","20"
"57053","93","88","99","98","79","87","100","100","100","99","99","56","49","63","58","71","45","10","20"
"57071","95","97","92","97","63","49","99","100","99","100","99","59","55","70","64","63","41","11","15"
"57072","95","98","92","95","67","66","97","97","99","99","100","54","59","71","53","64","42","11","16"
"57100","98","95","100","99","84","82","99","98","98","98","100","56","53","52","64","58","37","7","13"
"57129","82","92","97","99","81","82","99","99","100","100","99","58","56","66","72","66","48","9","15"
"57135","89","97","100","96","71","75","99","99","92","91","100","54","55","78","72","73","55","14","18"
"57136","93","98","100","99","69","42","99","99","95","98","100","62","60","78","71","65","61","9","15"
"57138","92","96","97","97","72","70","99","100","99","99","100","61","54","70","59","69","53","11","14"
"57143","96","99","98","99","78","76","100","100","98","100","99","58","59","71","64","74","49","16","16"
"57163","89","88","99","98","76","74","99","98","96","98","98","47","48","61","60","72","46","12","15"
"57168","92","92","87","99","70","64","98","100","99","100","98","57","56","65","71","70","43","12","15"
"57187","94","98","98","99","75","79","100","100","100","99","100","65","70","76","83","81","68","11","15"
"57190","96","96","100","94","78","80","97","99","98","100","100","63","61","72","68","74","50","16","19"
"57200","93","93","97","99","75","72","100","99","97","99","100","59","60","65","56","64","51","17","13"
"57203","92","97","100","99","79","88","100","99","99","99","99","66","69","77","81","89","60","19","10"
"57205","86","95","100","99","70","62","99","99","98","100","100","60","66","72","71","76","49","12","17"
"57212","96","93","91","96","88","91","99","100","99","100","100","63","59","68","62","72","47","12","17"
"57214","74","95","100","99","76","70","98","96","97","97","100","49","47","63","45","59","36","14","18"
"57219","92","96","99","85","72","75","98","100","99","100","97","68","58","72","74","72","47","16","13"
"57226","96","98","100","100","64","71","100","100","98","100","100","70","68","84","76","79","55","14","17"
"57230","89","90","100","100","70","66","100","91","95","95","100","49","59","66","58","70","38","17","11"
"57246","77","94","99","98","80","79","98","99","99","100","99","49","48","62","62","59","36","12","15"
"57248","96","100","99","100","94","83","100","100","100","100","100","52","42","57","93","79","47","8","15"
"57252","94","89","100","100","70","56","99","100","100","100","99","56","60","71","60","73","55","14","15"
"57255","85","92","92","99","85","85","97","98","95","98","91","57","53","68","61","67","50","15","15"
"57256","93","99","100","94","81","76","95","100","100","100","100","74","73","82","84","90","60","16","6"
"57258","97","99","100","99","84","89","100","100","100","100","99","64","59","70","66","75","51","13","17"
"57274","98","91","100","100","71","71","99","98","97","87","100","57","49","65","66","68","44","13","15"
"57276","90","97","97","99","78","76","100","100","100","100","100","58","55","62","51","62","44","14","16"
"57278","94","96","89","99","80","81","98","100","100","100","99","56","58","66","55","66","42","15","14"
"57374","90","92","98","99","77","52","100","93","99","98","100","48","52","52","56","66","35","15","22"
"57404","94","70","100","96","69","81","100","96","99","100","99","54","56","65","58","69","46","10","20"
"57407","98","100","100","100","81","92","100","100","100","100","100","55","51","66","62","78","42","13","16"
"57413","96","98","100","100","90","84","99","99","95","98","97","64","52","76","72","72","45","17","15"
"57415","96","85","99","99","87","71","97","100","100","100","99","49","42","55","63","59","57","6","18"
"57422","89","100","95","96","58","35","99","99","100","99","100","58","53","63","60","80","45","11","8"
"57426","90","86","95","97","79","84","90","89","94","85","99","62","58","65","63","74","52","10","20"
"57427","97","98","100","99","74","64","100","100","97","96","99","38","24","50","68","49","21","10","13"
"57428","80","99","99","98","34","30","99","100","100","100","99","51","64","69","75","68","46","22","21"
"57432","100","97","100","100","78","89","100","99","100","98","100","64","61","72","90","78","67","7","16"
"57433","91","99","100","100","85","87","100","100","100","100","100","63","65","68","69","75","56","8","16"
"57445","94","99","100","96","83","78","97","99","94","98","99","51","47","67","59","82","57","11","13"
"57446","95","100","100","100","93","94","99","100","100","100","99","87","83","93","94","91","71","12","18"
"57447","97","95","100","98","74","72","99","98","78","56","100","62","64","68","73","64","49","10","18"
"57448","87","90","99","99","69","66","99","99","96","99","99","55","50","61","61","63","41","12","14"
"57449","99","99","100","97","93","98","97","100","100","99","98","46","45","47","46","12","45","11","9"
"57456","93","98","100","98","93","100","100","100","100","100","99","40","40","57","86","56","46","4","14"
"57470","92","94","82","92","69","57","99","98","98","99","100","51","58","60","64","65","41","13","18"
"57477","85","92","100","97","86","91","100","100","95","97","100","46","35","40","69","46","27","10","12"
"57487","92","94","98","99","72","77","99","98","98","99","98","60","53","64","60","65","47","20","16"
"57494","100","100","100","100","89","98","100","100","100","100","100","65","46","81","88","80","64","3","17"
"57495","93","100","99","100","80","75","100","100","100","100","99","61","53","69","70","50","46","5","23"
"57497","87","94","100","99","65","59","100","100","96","99","99","56","51","67","70","73","44","13","12"
"57503","98","97","100","100","78","72","100","100","100","100","100","58","55","76","66","74","57","11","15"
"57505","99","97","100","99","63","44","97","100","98","100","99","57","67","71","66","77","55","10","13"
"57511","81","98","99","100","79","79","100","100","99","99","99","56","52","64","62","68","48","13","15"
"57517","80","94","96","97","80","84","99","99","98","100","100","55","52","61","55","64","39","16","14"
"57524","95","99","97","95","83","88","100","100","100","100","100","62","67","67","72","62","51","13","16"
"57537","85","93","100","99","81","78","99","99","94","97","98","62","59","70","70","73","50","11","14"
"57539","97","97","93","97","74","74","98","99","99","96","98","64","60","78","69","77","58","10","14"
